,광역시도,시도,20-39세남자,20-39세여자,20-39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
159,서울특별시,노원구,79438.0,77491.0,156929.0,29263.0,41556.0,70819.0,276333.0,291248.0,567581.0,2.1884240105056554,False
160,서울특별시,도봉구,49323.0,46810.0,96133.0,22318.0,28148.0,50466.0,171238.0,176982.0,348220.0,1.8551103713391195,False
161,서울특별시,동대문구,56650.0,52791.0,109441.0,23581.0,29720.0,53301.0,177640.0,177429.0,355069.0,1.9808633984353015,False
162,서울특별시,동작구,67102.0,66487.0,133589.0,24107.0,30945.0,55052.0,196267.0,204730.0,400997.0,2.4154254159703554,False
163,서울특별시,마포구,61038.0,66859.0,127897.0,20136.0,27924.0,48060.0,182162.0,197730.0,379892.0,2.782313774448606,False
164,서울특별시,서대문구,47583.0,47754.0,95337.0,19954.0,27349.0,47303.0,152510.0,161684.0,314194.0,2.0190685580195757,False
165,서울특별시,서초구,62939.0,71132.0,134071.0,23158.0,27748.0,50906.0,214673.0,232519.0,447192.0,2.794641103209838,False
166,서울특별시,성동구,48303.0,47379.0,95682.0,17005.0,22135.0,39140.0,148326.0,150933.0,299259.0,2.42100153295861,False
167,서울특별시,성북구,65489.0,66069.0,131558.0,27492.0,36386.0,63878.0,219951.0,230404.0,450355.0,2.068599517830865,False
168,서울특별시,송파구,100194.0,106049.0,206243.0,32529.0,38389.0,70918.0,320557.0,337274.0,657831.0,2.990749880143264,False
169,서울특별시,양천구,66167.0,65336.0,131503.0,23011.0,28946.0,51957.0,236290.0,241449.0,477739.0,2.51500279076929,False
170,서울특별시,영등포구,60268.0,59868.0,120136.0,23073.0,28113.0,51186.0,185200.0,185413.0,370613.0,2.3392333841284727,False
171,서울특별시,용산구,34199.0,35249.0,69448.0,14866.0,20681.0,35547.0,111601.0,118640.0,230241.0,1.9832334655526487,False
172,서울특별시,은평구,70373.0,70822.0,141195.0,30951.0,40353.0,71304.0,239183.0,252293.0,491476.0,1.9864804218557164,False
173,서울특별시,종로구,22222.0,22111.0,44333.0,10895.0,14055.0,24950.0,75201.0,77536.0,152737.0,1.7724248496993988,False
174,서울특별시,중구,19347.0,18837.0,38184.0,8852.0,11536.0,20388.0,62204.0,63045.0,125249.0,1.847851677457328,False
175,서울특별시,중랑구,63315.0,60154.0,123469.0,24702.0,31140.0,55842.0,204900.0,206105.0,411005.0,2.1544357293793204,False
176,세종특별자치시,세종특별자치시,35826.0,36648.0,72474.0,10048.0,14149.0,24197.0,121505.0,121543.0,243048.0,3.0291358432863578,False
177,울산광역시,남구,52911.0,45562.0,98473.0,13195.0,16205.0,29400.0,173960.0,166754.0,340714.0,3.099455782312925,False
178,울산광역시,동구,31272.0,23973.0,55245.0,6730.0,7640.0,14370.0,92144.0,82370.0,174514.0,3.336534446764092,False
179,울산광역시,북구,31236.0,27298.0,58534.0,5449.0,7536.0,12985.0,101096.0,94189.0,195285.0,4.204543704274163,False
180,울산광역시,울주군,30184.0,25605.0,55789.0,10920.0,15011.0,25931.0,112895.0,106360.0,219255.0,1.974856349543018,False
181,울산광역시,중구,36515.0,31292.0,67807.0,11523.0,14559.0,26082.0,123702.0,118834.0,242536.0,2.39950924008895,False
182,인천광역시,강화군,6541.0,5183.0,11724.0,8630.0,10970.0,19600.0,34170.0,33840.0,68010.0,0.5288775510204081,True
183,인천광역시,계양구,50889.0,48069.0,98958.0,12453.0,17309.0,29762.0,165301.0,164983.0,330284.0,3.2302264632753177,False
184,인천광역시,남구,64905.0,57113.0,122018.0,24870.0,32567.0,57437.0,210433.0,206670.0,417103.0,1.9887180737155492,False
185,인천광역시,남동구,80848.0,76870.0,157718.0,23019.0,30942.0,53961.0,264714.0,266268.0,530982.0,2.8490947165545486,False
186,인천광역시,동구,9494.0,8463.0,17957.0,5274.0,7365.0,12639.0,35833.0,35181.0,71014.0,1.3391882269166864,False
187,인천광역시,부평구,85089.0,80691.0,165780.0,25786.0,35154.0,60940.0,273356.0,276360.0,549716.0,2.648211355431572,False
188,인천광역시,서구,77060.0,73493.0,150553.0,18263.0,24456.0,42719.0,258117.0,252616.0,510733.0,3.440764062829186,False
189,인천광역시,연수구,48274.0,47035.0,95309.0,11079.0,15814.0,26893.0,163753.0,164874.0,328627.0,3.4979362659428106,False
190,인천광역시,옹진군,3607.0,1739.0,5346.0,1993.0,2574.0,4567.0,12155.0,9196.0,21351.0,0.7615502518064375,True
191,인천광역시,중구,16671.0,14731.0,31402.0,6894.0,8843.0,15737.0,59839.0,55410.0,115249.0,1.8721484399822075,False
192,전라남도,강진군,3468.0,3162.0,6630.0,4431.0,7224.0,11655.0,18127.0,19626.0,37753.0,0.5425997425997426,True
193,전라남도,고흥군,5195.0,4387.0,9582.0,9914.0,15450.0,25364.0,32556.0,35100.0,67656.0,0.3459233559375493,True
194,전라남도,곡성군,2760.0,2321.0,5081.0,3751.0,6161.0,9912.0,14786.0,15614.0,30400.0,0.46832122679580307,True
195,전라남도,광양시,22670.0,19307.0,41977.0,6914.0,10112.0,17026.0,80012.0,75568.0,155580.0,2.2679431457770467,False
196,전라남도,구례군,2545.0,2157.0,4702.0,3182.0,5068.0,8250.0,13342.0,14070.0,27412.0,0.5229090909090909,True
197,전라남도,나주시,13093.0,11876.0,24969.0,9167.0,14322.0,23489.0,52528.0,51848.0,104376.0,1.0111967303844354,False
198,전라남도,담양군,4917.0,4293.0,9210.0,5333.0,7996.0,13329.0,23723.0,23506.0,47229.0,0.6441593517893315,True
199,전라남도,목포시,32285.0,29543.0,61828.0,13439.0,19006.0,32445.0,118474.0,119265.0,237739.0,1.8211126521806134,False
200,전라남도,무안군,9672.0,8880.0,18552.0,6423.0,9752.0,16175.0,41153.0,40956.0,82109.0,1.0979907264296753,False
201,전라남도,보성군,3917.0,3273.0,7190.0,5837.0,9432.0,15269.0,21503.0,22966.0,44469.0,0.42871176894361124,True
202,전라남도,순천시,37127.0,34101.0,71228.0,15570.0,22391.0,37961.0,138959.0,139589.0,278548.0,1.7966333868970785,False
203,전라남도,신안군,4523.0,2925.0,7448.0,5547.0,8264.0,13811.0,22555.0,20097.0,42652.0,0.4235754109043516,True
204,전라남도,여수시,38657.0,32787.0,71444.0,19720.0,26912.0,46632.0,146565.0,142423.0,288988.0,1.406201749871333,False
205,전라남도,영광군,6002.0,5077.0,11079.0,5821.0,8952.0,14773.0,27724.0,27894.0,55618.0,0.6873350030460976,True
206,전라남도,영암군,6710.0,5218.0,11928.0,5240.0,8334.0,13574.0,29253.0,27792.0,57045.0,0.7688227493738029,True
207,전라남도,완도군,5301.0,4184.0,9485.0,6276.0,9347.0,15623.0,26285.0,26383.0,52668.0,0.5356205594316072,True
208,전라남도,장성군,4858.0,4202.0,9060.0,4984.0,7562.0,12546.0,23275.0,22829.0,46104.0,0.6698549338434561,True
209,전라남도,장흥군,3822.0,3172.0,6994.0,4816.0,7794.0,12610.0,19670.0,20999.0,40669.0,0.5030927835051546,True
210,전라남도,진도군,3003.0,2435.0,5438.0,3837.0,6268.0,10105.0,15701.0,16377.0,32078.0,0.48193963384463134,True
211,전라남도,함평군,3171.0,2529.0,5700.0,4255.0,7047.0,11302.0,17047.0,17350.0,34397.0,0.44753141036984606,True
212,전라남도,해남군,6898.0,6448.0,13346.0,8396.0,13153.0,21549.0,36538.0,38583.0,75121.0,0.5984500440855725,True
213,전라남도,화순군,6702.0,6342.0,13044.0,5894.0,9622.0,15516.0,32113.0,33190.0,65303.0,0.8174787316318639,True
214,전라북도,고창군,6091.0,4926.0,11017.0,6954.0,10903.0,17857.0,29927.0,30670.0,60597.0,0.5517164137313099,True
215,전라북도,군산시,37188.0,32329.0,69517.0,18093.0,24717.0,42810.0,140793.0,136758.0,277551.0,1.5103480495211399,False
216,전라북도,김제시,8998.0,7493.0,16491.0,9822.0,15028.0,24850.0,43527.0,44255.0,87782.0,0.6030583501006036,True
217,전라북도,남원시,8459.0,7551.0,16010.0,8156.0,12555.0,20711.0,41341.0,42847.0,84188.0,0.7291777316401912,True
218,전라북도,덕진구,41033.0,38843.0,79876.0,15542.0,20689.0,36231.0,144270.0,145629.0,289899.0,2.1441859181364027,False
219,전라북도,무주군,2311.0,1906.0,4217.0,2943.0,4584.0,7527.0,12371.0,12578.0,24949.0,0.5064434701740401,True
220,전라북도,부안군,5732.0,4679.0,10411.0,6461.0,10008.0,16469.0,28268.0,28737.0,57005.0,0.5682190782682616,True
221,전라북도,순창군,2681.0,2577.0,5258.0,3494.0,5699.0,9193.0,14427.0,15522.0,29949.0,0.5606439682367018,True
222,전라북도,완산구,49744.0,48028.0,97772.0,18980.0,26344.0,45324.0,176778.0,185067.0,361845.0,2.1193186832583177,False
223,전라북도,완주군,11920.0,10560.0,22480.0,7813.0,11000.0,18813.0,48950.0,46530.0,95480.0,1.1226279700207304,False
224,전라북도,익산시,39688.0,35280.0,74968.0,19952.0,28579.0,48531.0,149740.0,150739.0,300479.0,1.4539160536564257,False
225,전라북도,임실군,3204.0,2354.0,5558.0,3786.0,5766.0,9552.0,15387.0,14810.0,30197.0,0.49288107202680065,True
226,전라북도,장수군,2275.0,1902.0,4177.0,2764.0,4210.0,6974.0,11681.0,11947.0,23628.0,0.5454545454545454,True
